pred_threshold,pixel_threshold,min_area,val_iou,val_dice,val_pixel_precision,val_pixel_recall,val_pixel_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_fp,val_fn,fp_rate,fn_rate,seg_score,cls_score,balanced_score,is_best_seg,is_best_cls,is_best_balanced
0.5199999809265137,1,280,0.6465070386841784,0.7853073488234835,0.7800579024402893,0.7906279268188247,0.7853073488234353,0.9099099099099099,0.8571428571428571,0.9857142857142858,0.9169435215946844,46,4,0.16727272727272727,0.014285714285714285,0.7020271627398966,0.9088830347109418,0.7356300508635158,False,False,False
0.5199999809265137,1,380,0.6464631264326864,0.7852749521737635,0.7803219192208869,0.7902912647754083,0.7852749521737153,0.9081081081081082,0.861198738170347,0.975,0.914572864321608,44,7,0.16,0.025,0.7019878567291135,0.9052573402651419,0.7348763637655986,False,False,False
0.5199999809265137,1,260,0.6464418901207365,0.7852592842779187,0.7799630599453409,0.7906279268188247,0.7852592842778705,0.9081081081081082,0.8544891640866873,0.9857142857142858,0.9154228855721394,47,4,0.1709090909090909,0.014285714285714285,0.7019688477836055,0.9072113986032659,0.7352086108272483,False,False,False
0.5199999809265137,1,340,0.6464194731158407,0.7852427448424856,0.7801051147403457,0.7904484945588074,0.7852427448424373,0.9063063063063063,0.85625,0.9785714285714285,0.9133333333333333,46,6,0.16727272727272727,0.02142857142857143,0.7019487818064949,0.9042274964899966,0.7345849244754992,False,False,False
0.5199999809265137,1,360,0.6463732850175362,0.7852086654948504,0.7801910238815638,0.7902912647754083,0.7852086654948022,0.9063063063063063,0.8584905660377359,0.975,0.9130434782608695,45,7,0.16363636363636364,0.025,0.7019074372084579,0.9035744697826322,0.734434775799082,False,False,False
0.5199999809265137,1,240,0.6463224053817401,0.7851711223377714,0.7797891257607914,0.7906279268188247,0.7851711223377232,0.9045045045045045,0.8492307692307692,0.9857142857142858,0.912396694214876,49,4,0.1781818181818182,0.014285714285714285,0.7018618921641487,0.903880753317117,0.7343759365223324,False,False,False
0.5299999713897705,1,300,0.646239427011396,0.7851098891302187,0.7821811967349509,0.7880605955429207,0.7851098891301703,0.9099099099099099,0.8571428571428571,0.9857142857142858,0.9169435215946844,46,4,0.16727272727272727,0.014285714285714285,0.7017876118589212,0.9088830347109418,0.735433619141116,False,False,False
0.5299999713897705,1,280,0.646239427011396,0.7851098891302187,0.7821811967349509,0.7880605955429207,0.7851098891301703,0.9099099099099099,0.8571428571428571,0.9857142857142858,0.9169435215946844,46,4,0.16727272727272727,0.014285714285714285,0.7017876118589212,0.9088830347109418,0.735433619141116,False,False,False
0.5299999713897705,1,260,0.646239427011396,0.7851098891302187,0.7821811967349509,0.7880605955429207,0.7851098891301703,0.9099099099099099,0.8571428571428571,0.9857142857142858,0.9169435215946844,46,4,0.16727272727272727,0.014285714285714285,0.7017876118589212,0.9088830347109418,0.735433619141116,False,False,False
0.5299999713897705,1,340,0.6462337673922778,0.7851057124358547,0.7823430455191503,0.7878879599594193,0.7851057124358063,0.9081081081081082,0.8589341692789969,0.9785714285714285,0.9148580968280468,45,6,0.16363636363636364,0.02142857142857143,0.7017825454097046,0.9059051486463554,0.734823315291003,False,False,False
0.5199999809265137,1,220,0.6462151701325788,0.7850919877994996,0.7796330344915408,0.7906279268188247,0.7850919877994513,0.9009009009009009,0.8440366972477065,0.9857142857142858,0.9093904448105437,51,4,0.18545454545454546,0.014285714285714285,0.7017658971993431,0.900566736145422,0.7335552430148321,False,False,False
0.5299999713897705,1,380,0.6461916790690484,0.7850746511298631,0.7824341882896089,0.7877329957348589,0.7850746511298147,0.9081081081081082,0.861198738170347,0.975,0.914572864321608,44,7,0.16,0.025,0.7017448678933703,0.9052573402651419,0.7346771129202893,False,False,False
0.5299999713897705,1,360,0.6461916790690484,0.7850746511298631,0.7824341882896089,0.7877329957348589,0.7850746511298147,0.9081081081081082,0.861198738170347,0.975,0.914572864321608,44,7,0.16,0.025,0.7017448678933703,0.9052573402651419,0.7346771129202893,False,False,False
0.5299999713897705,1,320,0.6461540405299158,0.785046872432268,0.7822262009460466,0.7878879599594193,0.7850468724322196,0.9063063063063063,0.85625,0.9785714285714285,0.9133333333333333,46,6,0.16727272727272727,0.02142857142857143,0.7017111732908529,0.9042274964899966,0.7343900854926727,False,False,False
0.5299999713897705,1,240,0.6461222685361931,0.7850234224833305,0.7820095699803691,0.7880605955429207,0.7850234224832819,0.9063063063063063,0.8518518518518519,0.9857142857142858,0.9139072847682119,48,4,0.17454545454545456,0.014285714285714285,0.7016827301150441,0.9055439819453064,0.7346011320678679,False,False,False
0.5299999713897705,1,220,0.6460665851416539,0.7849823220681148,0.7819280033449176,0.7880605955429207,0.7849823220680664,0.9045045045045045,0.8492307692307692,0.9857142857142858,0.912396694214876,49,4,0.1781818181818182,0.014285714285714285,0.7016328799122343,0.903880753317117,0.7341881464757625,False,False,False
0.5400000214576721,1,380,0.6459618672554897,0.7849050213204992,0.7843786553842325,0.7854320941783747,0.7849050213204507,0.9135135135135135,0.8694267515923567,0.975,0.9191919191919192,41,7,0.14909090909090908,0.025,0.7015391288814896,0.910332290107131,0.7356400797202869,False,True,False
0.5400000214576721,1,240,0.6457507276254667,0.7847491321570103,0.7837461250636689,0.7857547097569916,0.7847491321569616,0.9099099099099099,0.8571428571428571,0.9857142857142858,0.9169435215946844,46,4,0.16727272727272727,0.014285714285714285,0.7013500894380802,0.9088830347109418,0.7350748507560264,False,False,False
